         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      846    0.004    0.000    0.006    0.000 font_manager.py:720(__hash__)
     1035    0.003    0.000    0.052    0.000 transforms.py:1972(scale)
     2707    0.003    0.000    0.005    0.000 _weakrefset.py:26(__exit__)
     4013    0.003    0.000    0.006    0.000 six.py:580(iteritems)
     2657    0.003    0.000    0.003    0.000 weakref.py:339(__init__)
     6169    0.003    0.000    0.020    0.000 numeric.py:463(asarray)
      476    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     5670    0.003    0.000    0.005    0.000 core.py:6064(isMaskedArray)
     2897    0.003    0.000    0.006    0.000 cbook.py:673(iterable)
     2372    0.003    0.000    0.040    0.000 re.py:286(_compile)
      848    0.003    0.000    0.003    0.000 {built-in method builtins.print}
2608/1850    0.003    0.000    0.299    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
     3289    0.003    0.000    0.021    0.000 {method 'all' of 'numpy.ndarray' objects}
      316    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap>:861(_find_spec)
   396/93    0.003    0.000    0.013    0.000 sre_compile.py:64(_compile)
     2869    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1064    0.003    0.000    0.014    0.000 numeric.py:2390(identity)
    10757    0.003    0.000    0.005    0.000 mathtext.py:2765(<genexpr>)
      404    0.003    0.000    0.017    0.000 text.py:189(__init__)
      601    0.003    0.000    0.004    0.000 inspect.py:2678(__init__)
    16931    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      608    0.003    0.000    0.010    0.000 lines.py:1086(set_linestyle)
     2695    0.003    0.000    0.003    0.000 six.py:577(itervalues)
       11    0.003    0.000    0.021    0.002 artist.py:1145(_get_setters_and_targets)
        1    0.003    0.003    0.003    0.003 backend_agg.py:85(__init__)
     2449    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1308    0.003    0.000    0.076    0.000 markers.py:223(set_fillstyle)
     1770    0.003    0.000    0.013    0.000 colors.py:128(to_rgba)
     2869    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      868    0.003    0.000    0.020    0.000 transforms.py:2290(__init__)
     1185    0.003    0.000    0.026    0.000 __init__.py:909(__setitem__)
   406/20    0.003    0.000    0.009    0.000 pyparsing.py:1040(_parseNoCache)
     1196    0.003    0.000    0.005    0.000 lines.py:1054(_split_drawstyle_linestyle)
     3618    0.002    0.000    0.013    0.000 {method 'any' of 'numpy.ndarray' objects}
      401    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.copyto}
      136    0.002    0.000    0.053    0.000 backend_agg.py:183(draw_text)
        8    0.002    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
      259    0.002    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      405    0.002    0.000    0.003    0.000 font_manager.py:848(set_weight)
     2707    0.002    0.000    0.003    0.000 _weakrefset.py:20(__enter__)
