         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      933    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       96    0.000    0.000    0.007    0.000 axis.py:498(_get_text2_transform)
       12    0.000    0.000    0.023    0.002 axis.py:2351(get_tick_space)
       61    0.000    0.000    0.000    0.000 weakref.py:354(__init__)
       64    0.000    0.000    0.001    0.000 axis.py:1534(set_major_locator)
      161    0.000    0.000    0.003    0.000 docstring.py:94(dedent)
       96    0.000    0.000    0.002    0.000 font_manager.py:931(copy)
      228    0.000    0.000    0.000    0.000 text.py:1168(set_y)
      194    0.000    0.000    0.000    0.000 backend_bases.py:1047(set_linewidth)
       48    0.000    0.000    0.000    0.000 axis.py:1475(set_units)
       89    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.001    0.000 pyparsing.py:2784(__init__)
      880    0.000    0.000    0.000    0.000 font_manager.py:760(get_variant)
        4    0.000    0.000    0.000    0.000 {method 'random_sample' of 'mtrand.RandomState' objects}
     1218    0.000    0.000    0.000    0.000 inspect.py:2456(annotation)
      104    0.000    0.000    0.005    0.000 transforms.py:2716(get_transformed_points_and_affine)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
      319    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      104    0.000    0.000    0.000    0.000 lines.py:911(get_markeredgecolor)
      111    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      172    0.000    0.000    0.004    0.000 lines.py:744(_get_transformed_path)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1756(<genexpr>)
       63    0.000    0.000    0.002    0.000 shape_base.py:180(vstack)
       63    0.000    0.000    0.001    0.000 shape_base.py:234(<listcomp>)
       22    0.000    0.000    0.007    0.000 pyparsing.py:1964(__init__)
      266    0.000    0.000    0.000    0.000 pyplot.py:2209(pad)
        4    0.000    0.000   36.551    9.138 perf_lec_rm_renew.py:102(draw_simulated_graph)
      248    0.000    0.000    0.001    0.000 transforms.py:1199(_iter_break_from_left_to_right)
       32    0.000    0.000    0.058    0.002 spines.py:359(set_position)
       84    0.000    0.000    0.000    0.000 transforms.py:367(_get_intervalx)
      404    0.000    0.000    0.000    0.000 text.py:636(set_wrap)
       24    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.get_path_extents}
      665    0.000    0.000    0.000    0.000 text.py:917(get_text)
       32    0.000    0.000    0.001    0.000 spines.py:285(_calc_offset_transform)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       72    0.000    0.000    0.002    0.000 transforms.py:1770(transform_point)
       32    0.000    0.000    0.000    0.000 font_manager.py:1107(score_family)
       92    0.000    0.000    0.005    0.000 axis.py:364(_get_text2_transform)
       54    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
       82    0.000    0.000    0.002    0.000 docstring.py:113(dedent_interpd)
       24    0.000    0.000    0.004    0.000 axis.py:2095(_get_pixel_distance_along_axis)
       24    0.000    0.000    0.053    0.002 ticker.py:1796(tick_values)
      172    0.000    0.000    0.001    0.000 transforms.py:2743(get_affine)
       32    0.000    0.000    0.000    0.000 font_manager.py:1168(score_stretch)
       24    0.000    0.000    0.000    0.000 _base.py:2260(<listcomp>)
       64    0.000    0.000    0.008    0.000 ticker.py:2319(__init__)
       44    0.000    0.000    0.002    0.000 transforms.py:1700(transform_path_affine)
       38    0.000    0.000    0.001    0.000 pyparsing.py:2517(__init__)
      152    0.000    0.000    0.002    0.000 contextlib.py:80(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(<listcomp>)
      326    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      104    0.000    0.000    0.002    0.000 markers.py:275(get_transform)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       15    0.000    0.000    0.003    0.000 _base.py:3097(set_ylim)
       69    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       19    0.000    0.000    0.001    0.000 ipaddress.py:1459(__init__)
       24    0.000    0.000    0.053    0.002 ticker.py:1792(__call__)
       92    0.000    0.000    0.006    0.000 axis.py:361(_get_text1_transform)
       56    0.000    0.000    0.001    0.000 axis.py:1499(set_label_text)
      472    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
      397    0.000    0.000    0.000    0.000 font_manager.py:907(set_file)
       64    0.000    0.000    0.000    0.000 axis.py:1512(set_major_formatter)
      237    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       10    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
      226    0.000    0.000    0.000    0.000 rcsetup.py:156(validate_float)
      200    0.000    0.000    0.000    0.000 pyparsing.py:1618(__hash__)
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
       23    0.000    0.000    0.032    0.001 __init__.py:1137(rc_params_from_file)
       16    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       45    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
       66    0.000    0.000    0.001    0.000 pyparsing.py:816(wrapper)
       90    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.result_type}
       18    0.000    0.000    0.012    0.001 pyparsing.py:786(_trim_arity)
       38    0.000    0.000    0.003    0.000 pyparsing.py:2912(parseImpl)
    79/72    0.000    0.000    0.004    0.000 transforms.py:1403(get_matrix)
      570    0.000    0.000    0.000    0.000 path.py:235(codes)
      179    0.000    0.000    0.002    0.000 font_manager.py:730(__eq__)
      301    0.000    0.000    0.000    0.000 text.py:1267(get_usetex)
       55    0.000    0.000    0.000    0.000 pyparsing.py:2011(__str__)
       64    0.000    0.000    0.002    0.000 patches.py:313(_set_facecolor)
      106    0.000    0.000    0.022    0.000 patches.py:707(get_patch_transform)
      115    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
      198    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       96    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}
       38    0.000    0.000    0.004    0.000 pyparsing.py:3004(parseImpl)
       64    0.000    0.000    0.001    0.000 patches.py:290(_set_edgecolor)
       28    0.000    0.000    0.001    0.000 pyparsing.py:1725(__init__)
       20    0.000    0.000    0.003    0.000 transforms.py:1036(set)
      157    0.000    0.000    0.001    0.000 transforms.py:2626(get_matrix)
       40    0.000    0.000    0.011    0.000 lines.py:1305(_draw_dotted)
       54    0.000    0.000    0.000    0.000 patches.py:1825(<listcomp>)
      330    0.000    0.000    0.000    0.000 backend_bases.py:856(get_clip_path)
        1    0.000    0.000    0.165    0.165 tight_layout.py:37(auto_adjust_subplotpars)
      153    0.000    0.000    0.001    0.000 text.py:294(get_rotation)
       12    0.000    0.000    0.001    0.000 gridspec.py:260(get_subplot_params)
       93    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      322    0.000    0.000    0.000    0.000 backend_bases.py:980(set_clip_path)
       81    0.000    0.000    0.000    0.000 rcsetup.py:67(__call__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1630(_ip_int_from_string)
       44    0.000    0.000    0.002    0.000 transforms.py:2233(__eq__)
      186    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
      150    0.000    0.000    0.000    0.000 inspect.py:684(getmodule)
       81    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
      379    0.000    0.000    0.000    0.000 figure.py:410(_get_dpi)
       10    0.000    0.000    0.001    0.000 enum.py:837(_decompose)
        6    0.000    0.000    0.000    0.000 patches.py:1761(_pprint_table)
       23    0.000    0.000    0.001    0.000 core.py:177(iter_style_files)
       32    0.000    0.000    0.007    0.000 spines.py:278(draw)
       25    0.000    0.000    0.000    0.000 cbook.py:1297(__setitem__)
       56    0.000    0.000    0.001    0.000 spines.py:138(get_patch_transform)
        1    0.000    0.000    0.215    0.215 add_newdocs.py:10(<module>)
      146    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
    26/14    0.000    0.000    0.002    0.000 pyparsing.py:2653(parseImpl)
       96    0.000    0.000    0.000    0.000 pyparsing.py:170(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      128    0.000    0.000    0.000    0.000 colors.py:589(__init__)
      330    0.000    0.000    0.000    0.000 backend_bases.py:1100(get_hatch_path)
      104    0.000    0.000    0.006    0.000 backend_agg.py:122(draw_markers)
      238    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       18    0.000    0.000    0.012    0.001 pyparsing.py:794(extract_stack)
      323    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        4    0.000    0.000    0.000    0.000 cbook.py:2562(normalize_kwargs)
       78    0.000    0.000    0.000    0.000 pyparsing.py:1744(parseImpl)
      215    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.010    0.010 inspect.py:27(<module>)
        1    0.000    0.000    0.007    0.007 mathtext.py:2222(Parser)
       16    0.000    0.000    0.001    0.000 axis.py:779(set_tick_params)
      107    0.000    0.000    0.000    0.000 pyparsing.py:1569(__str__)
      308    0.000    0.000    0.000    0.000 path.py:280(should_simplify)
       36    0.000    0.000    0.002    0.000 _base.py:916(_set_artist_props)
       28    0.000    0.000    0.001    0.000 _base.py:1981(_process_unit_info)
       67    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        8    0.000    0.000    0.037    0.005 axis.py:641(__init__)
       18    0.000    0.000    0.012    0.001 pyparsing.py:946(setParseAction)
      330    0.000    0.000    0.000    0.000 artist.py:624(get_path_effects)
       18    0.000    0.000    0.012    0.001 traceback.py:196(extract_stack)
       38    0.000    0.000    0.000    0.000 cbook.py:1756(get_siblings)
       12    0.000    0.000    0.002    0.000 gridspec.py:420(get_position)
       92    0.000    0.000    0.000    0.000 transforms.py:381(_get_width)
      194    0.000    0.000    0.000    0.000 backend_bases.py:1038(set_joinstyle)
        1    0.000    0.000    0.006    0.006 Image.py:27(<module>)
      363    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        2    0.000    0.000    0.251    0.125 figure.py:1090(draw)
       28    0.000    0.000    0.000    0.000 linalg.py:139(_commonType)
        1    0.000    0.000    0.003    0.003 cbook.py:7(<module>)
        8    0.000    0.000    0.001    0.000 tokenize.py:448(open)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       20    0.000    0.000    0.010    0.001 pyparsing.py:1175(parseString)
       16    0.000    0.000    0.003    0.000 scale.py:69(set_default_locators_and_formatters)
       33    0.000    0.000    0.000    0.000 posixpath.py:230(expanduser)
       13    0.000    0.000    0.006    0.000 enum.py:602(_convert)
       57    0.000    0.000    0.000    0.000 numeric.py:3085(__init__)
       57    0.000    0.000    0.001    0.000 numeric.py:3094(__exit__)
       48    0.000    0.000    0.000    0.000 axis.py:1958(get_view_interval)
        3    0.000    0.000    0.000    0.000 numeric.py:367(extend_all)
       68    0.000    0.000    0.002    0.000 transforms.py:2727(get_transformed_path_and_affine)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       57    0.000    0.000    0.001    0.000 numeric.py:3089(__enter__)
      256    0.000    0.000    0.000    0.000 ticker.py:241(set_axis)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       56    0.000    0.000    0.001    0.000 patches.py:228(get_patch_transform)
        8    0.000    0.000    0.001    0.000 _base.py:2821(set_xlim)
        4    0.000    0.000    0.001    0.000 axis.py:2059(_get_label)
       40    0.000    0.000    0.003    0.000 transforms.py:2109(__eq__)
      330    0.000    0.000    0.000    0.000 backend_bases.py:866(get_dashes)
      254    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
       78    0.000    0.000    0.000    0.000 core.py:599(filled)
       11    0.000    0.000    0.031    0.003 artist.py:1508(kwdoc)
       64    0.000    0.000    0.000    0.000 axis.py:1523(set_minor_formatter)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
       37    0.000    0.000    0.000    0.000 rcsetup.py:80(<listcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      308    0.000    0.000    0.000    0.000 path.py:262(simplify_threshold)
       64    0.000    0.000    0.000    0.000 axis.py:1545(set_minor_locator)
      611    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       74    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
       38    0.000    0.000    0.001    0.000 pyparsing.py:1317(__add__)
       44    0.000    0.000    0.003    0.000 transforms.py:1436(transform_path_affine)
       32    0.000    0.000    0.001    0.000 cm.py:35(revcmap)
       12    0.000    0.000    0.001    0.000 _base.py:1383(apply_aspect)
       12    0.000    0.000    0.002    0.000 axis.py:1853(_update_offset_text_position)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       48    0.000    0.000    0.000    0.000 text.py:1150(set_position)
        1    0.000    0.000    0.010    0.010 mathtext.py:16(<module>)
       32    0.000    0.000    0.018    0.001 axis.py:191(set_clip_path)
       12    0.000    0.000    0.000    0.000 axis.py:2178(_update_offset_text_position)
        1    0.000    0.000    0.038    0.038 request.py:68(<module>)
      452    0.000    0.000    0.000    0.000 backend_bases.py:224(open_group)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      156    0.000    0.000    0.000    0.000 transforms.py:2799(interval_contains)
      346    0.000    0.000    0.000    0.000 path.py:254(simplify_threshold)
        1    0.000    0.000    0.001    0.001 rrule.py:7(<module>)
       16    0.000    0.000    0.004    0.000 spines.py:453(linear_spine)
       66    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       60    0.000    0.000    0.000    0.000 weakref.py:431(__contains__)
        1    0.000    0.000    0.002    0.002 mlab.py:163(<module>)
      104    0.000    0.000    0.000    0.000 lines.py:542(get_fillstyle)
      115    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000   38.086   38.086 perf_lec_rm_renew.py:1(<module>)
        4    0.000    0.000    0.010    0.002 _axes.py:1264(plot)
       16    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
      125    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       74    0.000    0.000    0.000    0.000 pyparsing.py:2566(<genexpr>)
       24    0.000    0.000    0.001    0.000 transforms.py:2203(__init__)
       24    0.000    0.000    0.000    0.000 ticker.py:1543(le)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
      230    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.geterrobj}
        7    0.000    0.000    0.000    0.000 cbook.py:1292(__init__)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
      452    0.000    0.000    0.000    0.000 backend_bases.py:232(close_group)
        8    0.000    0.000    0.000    0.000 axis.py:1111(<listcomp>)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
       13    0.000    0.000    0.004    0.000 rcsetup.py:727(cycler)
       24    0.000    0.000    0.157    0.007 axis.py:969(<listcomp>)
       48    0.000    0.000    0.000    0.000 axis.py:2291(get_view_interval)
      123    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        1    0.000    0.000    0.304    0.304 pyplot.py:1056(subplots)
       90    0.000    0.000    0.000    0.000 artist.py:534(get_snap)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
       94    0.000    0.000    0.036    0.000 re.py:231(compile)
        4    0.000    0.000    0.004    0.001 __init__.py:625(_get_config_or_cache_dir)
       23    0.000    0.000    0.000    0.000 rcsetup.py:55(__init__)
       76    0.000    0.000    0.001    0.000 cm.py:52(_reverse_cmap_spec)
       41    0.000    0.000    0.000    0.000 patches.py:363(set_linewidth)
       23    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       27    0.000    0.000    0.000    0.000 core.py:910(__init__)
       66    0.000    0.000    0.000    0.000 pyparsing.py:320(__getitem__)
       96    0.000    0.000    0.000    0.000 pyparsing.py:372(__bool__)
       66    0.000    0.000    0.001    0.000 pyparsing.py:1697(__init__)
      330    0.000    0.000    0.000    0.000 backend_bases.py:925(get_snap)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      262    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
       79    0.000    0.000    0.001    0.000 docstring.py:128(<lambda>)
        1    0.000    0.000    0.007    0.007 dates.py:110(<module>)
    14/10    0.000    0.000    0.002    0.000 __init__.py:335(wrapper)
       14    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
      138    0.000    0.000    0.000    0.000 image.py:130(<genexpr>)
       48    0.000    0.000    0.001    0.000 cbook.py:2546(safe_first_element)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2147(CharsNotIn)
      322    0.000    0.000    0.000    0.000 artist.py:520(get_gid)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       20    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
      129    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
       22    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
      523    0.000    0.000    0.000    0.000 inspect.py:2757(return_annotation)
        1    0.000    0.000    0.120    0.120 colorbar.py:20(<module>)
        1    0.000    0.000    0.045    0.045 text.py:3(<module>)
      112    0.000    0.000    0.000    0.000 axis.py:903(_set_artist_props)
       96    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
      285    0.000    0.000    0.000    0.000 __init__.py:894(<genexpr>)
       49    0.000    0.000    0.000    0.000 rcsetup.py:434(validate_fontsize)
       78    0.000    0.000    0.000    0.000 pyparsing.py:407(haskeys)
      218    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.009    0.009 patches.py:3(<module>)
        1    0.000    0.000    0.026    0.026 backend_bases.py:33(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
       72    0.000    0.000    0.000    0.000 ticker.py:1522(closeto)
      194    0.000    0.000    0.000    0.000 backend_bases.py:965(set_capstyle)
      330    0.000    0.000    0.000    0.000 backend_bases.py:1120(get_sketch_params)
       16    0.000    0.000    0.004    0.000 _base.py:860(set_position)
      128    0.000    0.000    0.000    0.000 backend_agg.py:265(get_canvas_width_height)
       21    0.000    0.000    0.000    0.000 posixpath.py:152(dirname)
       18    0.000    0.000    0.009    0.000 fontconfig_pattern.py:119(parse)
       63    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
       16    0.000    0.000    0.000    0.000 transforms.py:1605(_set)
      236    0.000    0.000    0.000    0.000 markers.py:220(get_fillstyle)
      330    0.000    0.000    0.000    0.000 backend_bases.py:1114(get_hatch_linewidth)
       60    0.000    0.000    0.000    0.000 numeric.py:2160(isscalar)
        1    0.000    0.000    0.000    0.000 core.py:2688(MaskedArray)
      217    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       90    0.000    0.000    0.000    0.000 functools.py:74(wraps)
      562    0.000    0.000    0.000    0.000 inspect.py:2753(parameters)
      236    0.000    0.000    0.000    0.000 markers.py:245(get_marker)
       32    0.000    0.000    0.000    0.000 font_manager.py:1130(<listcomp>)
        1    0.000    0.000    0.007    0.007 font_manager.py:21(<module>)
      272    0.000    0.000    0.000    0.000 {built-in method math.radians}
       63    0.000    0.000    0.000    0.000 cbook.py:479(__init__)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:236(Line2D)
      136    0.000    0.000    0.000    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
       16    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
        1    0.000    0.000    0.005    0.005 fontconfig_pattern.py:71(__init__)
       63    0.000    0.000    0.005    0.000 transforms.py:282(__array__)
       16    0.000    0.000    0.000    0.000 axis.py:809(_translate_tick_kw)
       60    0.000    0.000    0.000    0.000 weakref.py:406(__setitem__)
        1    0.000    0.000    0.002    0.002 colors.py:57(<module>)
      247    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       20    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.004    0.004 pyparsing.py:3599(_makeTags)
       32    0.000    0.000    0.001    0.000 artist.py:900(set_label)
        1    0.000    0.000    0.026    0.026 collections.py:10(<module>)
      330    0.000    0.000    0.000    0.000 backend_bases.py:1108(get_hatch_color)
       84    0.000    0.000    0.000    0.000 figure.py:234(_update_this)
        4    0.000    0.000    0.284    0.071 figure.py:939(add_subplot)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       20    0.000    0.000    0.000    0.000 rcsetup.py:304(__call__)
      240    0.000    0.000    0.000    0.000 transforms.py:2045(get_matrix)
       24    0.000    0.000    0.000    0.000 ticker.py:1559(ge)
        1    0.000    0.000    0.000    0.000 threading.py:487(Event)
       26    0.000    0.000    0.001    0.000 core.py:6374(getdoc)
       46    0.000    0.000    0.000    0.000 cbook.py:1680(clean)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.010    0.010 ssl.py:91(<module>)
       32    0.000    0.000    0.000    0.000 transforms.py:1739(_get_is_separable)
        1    0.000    0.000    0.048    0.048 _axes.py:1(<module>)
        4    0.000    0.000    0.002    0.001 _base.py:354(_plot_args)
       24    0.000    0.000    0.000    0.000 axis.py:1340(get_minor_ticks)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        1    0.000    0.000    0.000    0.000 __init__.py:885(RcParams)
       54    0.000    0.000    0.001    0.000 pyplot.py:2506(<lambda>)
        1    0.000    0.000    0.000    0.000 collections.py:1096(LineCollection)
       24    0.000    0.000    0.000    0.000 _base.py:2261(<listcomp>)
      141    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       16    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1936(__str__)
      104    0.000    0.000    0.000    0.000 markers.py:284(get_snap_threshold)
        1    0.000    0.000    0.000    0.000 _base.py:421(_AxesBase)
        2    0.000    0.000    0.005    0.003 __init__.py:3(<module>)
       69    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.016    0.016 utils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
       23    0.000    0.000    0.000    0.000 cbook.py:52(_generate_deprecation_message)
       50    0.000    0.000    0.000    0.000 pyparsing.py:2687(<genexpr>)
      215    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      139    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       23    0.000    0.000    0.000    0.000 locale.py:631(getpreferredencoding)
    31/23    0.000    0.000    0.000    0.000 pyparsing.py:2561(__str__)
      194    0.000    0.000    0.000    0.000 backend_bases.py:1075(set_snap)
       27    0.000    0.000    0.001    0.000 posixpath.py:367(abspath)
        1    0.000    0.000    0.000    0.000 argparse.py:904(_StoreFalseAction)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
      424    0.000    0.000    0.000    0.000 transforms.py:1212(depth)
      104    0.000    0.000    0.000    0.000 markers.py:278(get_alt_path)
      497    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       28    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
       13    0.000    0.000    0.039    0.003 six.py:91(__get__)
       12    0.000    0.000    0.000    0.000 rcsetup.py:877(validate_animation_writer_path)
     18/6    0.000    0.000    0.001    0.000 pyparsing.py:2824(streamline)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
      216    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.064    0.064 contour.py:4(<module>)
       48    0.000    0.000    0.000    0.000 ticker.py:1531(__init__)
        8    0.000    0.000    0.001    0.000 _base.py:2638(tick_params)
      115    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       60    0.000    0.000    0.000    0.000 cbook.py:371(add_destroy_callback)
      100    0.000    0.000    0.000    0.000 pyparsing.py:2407(<genexpr>)
       24    0.000    0.000    0.000    0.000 ticker.py:612(get_offset)
        1    0.000    0.000    0.024    0.024 core.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       11    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       17    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        4    0.000    0.000    0.004    0.001 __init__.py:228(_is_writable_dir)
       30    0.000    0.000    0.000    0.000 rcsetup.py:653(__call__)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1882(__init__)
       32    0.000    0.000    0.001    0.000 transforms.py:2266(blended_transform_factory)
      322    0.000    0.000    0.000    0.000 backend_bases.py:825(restore)
       40    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 re.py:324(_subx)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
       39    0.000    0.000    0.000    0.000 inspect.py:458(unwrap)
     17/8    0.000    0.000    0.001    0.000 pyparsing.py:2425(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
       11    0.000    0.000    0.005    0.000 artist.py:1069(__init__)
       21    0.000    0.000    0.000    0.000 patches.py:385(set_linestyle)
       10    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      115    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        2    0.000    0.000    0.024    0.012 __init__.py:45(<module>)
       32    0.000    0.000    0.000    0.000 random.py:222(_randbelow)
       39    0.000    0.000    0.001    0.000 inspect.py:2761(replace)
       16    0.000    0.000    0.001    0.000 transforms.py:278(frozen)
       32    0.000    0.000    0.000    0.000 gridspec.py:469(__eq__)
      124    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       23    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       90    0.000    0.000    0.000    0.000 pyparsing.py:1575(streamline)
    28/18    0.000    0.000    0.001    0.000 pyparsing.py:2500(copy)
       22    0.000    0.000    0.000    0.000 artist.py:37(allow_rasterization)
        4    0.000    0.000    0.001    0.000 _base.py:648(_set_lim_and_transforms)
       36    0.000    0.000    0.000    0.000 _base.py:2924(get_xscale)
        8    0.000    0.000    0.021    0.003 axis.py:868(set_clip_path)
